State,All,Tornado,Wind,Hail,Year,Month
0,31,5,23,3,0,1
2,1,0,1,0,0,1
3,16,1,15,0,0,1
4,7,4,2,1,0,1
9,39,3,36,0,0,1
12,3,0,3,0,0,1
13,8,3,5,0,0,1
15,2,0,0,2,0,1
16,5,1,4,0,0,1
17,3,0,1,2,0,1
21,1,0,1,0,0,1
23,26,4,19,3,0,1
24,35,0,22,13,0,1
30,1,1,0,0,0,1
31,2,0,2,0,0,1
32,4,0,4,0,0,1
34,2,1,1,0,0,1
35,5,0,3,2,0,1
39,9,1,8,0,0,1
41,7,2,5,0,0,1
42,9,0,3,6,0,1
0,8,4,4,0,3,11
3,1,0,1,0,3,11
6,6,0,6,0,3,11
7,2,0,2,0,3,11
8,19,8,11,0,3,11
9,1,1,0,0,3,11
11,4,0,4,0,3,11
15,1,0,0,1,3,11
17,31,20,10,1,3,11
18,6,0,6,0,3,11
19,9,0,9,0,3,11
20,2,0,2,0,3,11
23,57,38,19,0,3,11
25,1,0,1,0,3,11
28,10,0,10,0,3,11
29,1,0,1,0,3,11
31,20,0,20,0,3,11
32,1,0,1,0,3,11
35,8,3,1,4,3,11
42,48,19,22,7,3,11
43,1,0,1,0,3,11
45,8,0,8,0,3,11
0,2,0,2,0,2,8
2,17,0,11,6,2,8
3,11,0,10,1,2,8
4,10,2,6,2,2,8
5,21,0,18,3,2,8
6,5,1,4,0,2,8
7,2,0,2,0,2,8
8,7,1,5,1,2,8
9,5,0,5,0,2,8
11,20,0,17,3,2,8
12,44,1,30,13,2,8
13,7,0,7,0,2,8
14,16,0,15,1,2,8
15,24,0,8,16,2,8
16,9,0,9,0,2,8
17,3,0,3,0,2,8
18,12,0,12,0,2,8
19,38,6,32,0,2,8
20,10,1,9,0,2,8
21,94,0,69,25,2,8
22,58,3,33,22,2,8
23,23,0,23,0,2,8
24,15,0,13,2,2,8
25,3,0,3,0,2,8
26,11,0,5,6,2,8
27,3,0,3,0,2,8
28,18,0,12,6,2,8
29,22,4,18,0,2,8
30,6,0,5,1,2,8
31,48,1,45,2,2,8
32,9,0,8,1,2,8
33,6,0,1,5,2,8
34,5,0,5,0,2,8
35,22,0,17,5,2,8
36,1,0,1,0,2,8
37,64,7,55,2,2,8
38,1,0,1,0,2,8
39,5,0,4,1,2,8
40,23,0,20,3,2,8
42,29,1,20,8,2,8
43,14,1,12,1,2,8
44,11,0,11,0,2,8
45,21,0,14,7,2,8
46,1,1,0,0,2,8
47,5,0,4,1,2,8
48,65,1,25,39,2,8
49,10,0,7,3,2,8
0,74,4,53,17,3,4
3,130,3,93,34,3,4
4,1,0,0,1,3,4
5,26,1,21,4,3,4
6,10,0,10,0,3,4
7,6,0,5,1,3,4
8,81,8,53,20,3,4
9,99,0,89,10,3,4
11,17,1,16,0,3,4
12,64,11,38,15,3,4
13,98,6,74,18,3,4
14,64,1,49,14,3,4
15,181,11,84,86,3,4
16,111,3,68,40,3,4
17,40,1,30,9,3,4
18,17,0,13,4,3,4
19,58,2,50,6,3,4
20,22,0,22,0,3,4
21,32,2,12,18,3,4
22,575,51,335,189,3,4
23,96,2,72,22,3,4
24,114,6,56,52,3,4
25,13,0,13,0,3,4
26,193,8,114,71,3,4
27,10,0,10,0,3,4
28,28,1,17,10,3,4
29,21,1,13,7,3,4
30,18,0,6,12,3,4
31,86,0,74,12,3,4
32,284,11,208,65,3,4
33,38,4,18,16,3,4
34,119,2,96,21,3,4
35,211,6,99,106,3,4
36,7,3,0,4,3,4
37,93,4,79,10,3,4
39,129,6,92,31,3,4
40,260,19,181,60,3,4
41,105,0,60,45,3,4
42,485,23,255,207,3,4
43,2,0,2,0,3,4
44,14,0,12,2,3,4
45,218,6,188,24,3,4
46,7,2,5,0,3,4
47,26,0,24,2,3,4
48,105,7,43,55,3,4
49,12,0,10,2,3,4
2,1,0,0,1,4,9
5,5,1,4,0,4,9
8,12,6,6,0,4,9
9,3,0,2,1,4,9
12,2,1,1,0,4,9
14,6,0,1,5,4,9
15,29,4,12,13,4,9
21,2,0,2,0,4,9
22,17,0,3,14,4,9
24,1,0,0,1,4,9
26,73,9,48,16,4,9
30,15,1,8,6,4,9
32,2,0,2,0,4,9
33,2,0,0,2,4,9
35,21,1,16,4,4,9
39,13,0,9,4,4,9
40,6,0,2,4,4,9
42,88,7,49,32,4,9
43,2,0,2,0,4,9
46,1,1,0,0,4,9
48,17,0,1,16,4,9
0,184,2,174,8,4,6
2,51,1,43,7,4,6
3,72,2,68,2,4,6
4,4,0,4,0,4,6
5,164,12,45,107,4,6
6,34,0,34,0,4,6
7,23,1,22,0,4,6
8,106,2,103,1,4,6
9,278,1,268,9,4,6
11,24,0,21,3,4,6
12,257,23,203,31,4,6
13,174,2,132,40,4,6
14,145,11,90,44,4,6
15,411,2,304,105,4,6
16,232,6,204,22,4,6
17,54,0,51,3,4,6
18,18,0,18,0,4,6
19,135,0,134,1,4,6
20,53,2,51,0,4,6
21,158,8,115,35,4,6
22,192,2,62,128,4,6
23,55,0,54,1,4,6
24,397,1,341,55,4,6
25,82,0,47,35,4,6
26,340,7,179,154,4,6
27,9,0,9,0,4,6
28,39,2,25,12,4,6
29,59,0,57,2,4,6
30,45,1,19,25,4,6
31,263,2,246,15,4,6
32,232,2,216,14,4,6
33,44,1,13,30,4,6
34,283,5,250,28,4,6
35,132,0,113,19,4,6
37,251,9,222,20,4,6
38,7,0,7,0,4,6
39,120,1,119,0,4,6
40,255,3,122,130,4,6
41,176,0,168,8,4,6
42,149,1,136,12,4,6
43,96,0,94,2,4,6
44,48,2,42,4,4,6
45,310,0,297,13,4,6
46,8,1,4,3,4,6
47,122,0,116,6,4,6
48,201,2,149,50,4,6
49,148,0,82,66,4,6
0,42,4,37,1,2,5
2,7,3,4,0,2,5
3,18,4,11,3,2,5
4,6,0,6,0,2,5
5,64,12,24,28,2,5
6,23,0,22,1,2,5
7,8,0,8,0,2,5
8,80,3,71,6,2,5
9,55,3,48,4,2,5
11,20,0,16,4,2,5
12,103,11,84,8,2,5
13,127,12,91,24,2,5
14,85,3,40,42,2,5
15,175,0,149,26,2,5
16,96,2,92,2,2,5
17,17,1,13,3,2,5
18,40,0,35,5,2,5
19,76,1,70,5,2,5
20,47,0,45,2,2,5
21,104,8,77,19,2,5
22,83,1,53,29,2,5
23,76,5,70,1,2,5
24,124,5,102,17,2,5
25,127,0,66,61,2,5
26,140,2,91,47,2,5
27,15,1,14,0,2,5
28,33,0,22,11,2,5
29,56,0,50,6,2,5
30,33,2,22,9,2,5
31,200,2,186,12,2,5
32,35,5,26,4,2,5
33,212,6,146,60,2,5
34,119,2,104,13,2,5
35,43,0,37,6,2,5
36,6,0,3,3,2,5
37,223,1,208,14,2,5
38,4,0,4,0,2,5
39,45,0,36,9,2,5
40,132,2,92,38,2,5
41,59,0,56,3,2,5
42,162,6,131,25,2,5
43,3,0,3,0,2,5
44,14,0,12,2,2,5
45,79,0,77,2,2,5
46,10,0,1,9,2,5
47,121,1,114,6,2,5
48,72,2,45,25,2,5
49,30,0,11,19,2,5
0,12,4,8,0,0,9
3,55,3,46,6,0,9
4,1,0,1,0,0,9
6,1,0,1,0,0,9
7,12,0,12,0,0,9
8,14,6,8,0,0,9
9,17,1,16,0,0,9
11,30,0,30,0,0,9
12,4,0,3,1,0,9
13,8,0,8,0,0,9
14,11,3,5,3,0,9
15,11,0,9,2,0,9
16,12,0,12,0,0,9
17,29,3,26,0,0,9
18,4,0,4,0,0,9
