State	All	Tornado	Wind	Hail
AL	274	46	213	15
AR	166	4	119	43
CT	2	0	2	0
DE	12	0	12	0
FL	149	20	122	7
GA	310	56	237	17
ID	29	0	27	2
IL	98	0	57	41
IN	102	12	77	13
IA	22	0	0	22
KS	41	0	12	29
KY	80	7	57	16
LA	198	36	109	53
MD	52	3	46	3
MA	4	0	4	0
MI	41	0	3	38
MN	9	0	1	8
MS	239	57	150	32
MO	78	1	44	33
MT	3	0	3	0
NE	8	0	2	6
NV	1	0	0	1
NJ	62	1	60	1
NM	1	0	1	0
NY	19	0	18	1
NC	203	19	169	15
AND	1	0	0	1
OH	114	11	63	40
OK	181	13	36	132
OR	1	0	0	1
PA	106	2	101	3
RI	1	0	1	0
SC	146	29	103	14
SD	14	0	8	6
TN	65	5	47	13
TX	398	29	182	187
UT	3	0	3	0
VA	105	0	84	21
WA	1	0	1	0
WV	77	0	59	18
WI	45	0	23	22
WY	2	0	2	0
