State	All	Tornado	Wind	Hail
AL	91	5	81	5
AZ	45	0	36	9
AR	39	4	33	2
CA	11	3	7	1
CO	94	5	30	59
CT	28	7	18	3
DE	24	7	17	0
FL	67	5	55	7
GA	142	0	134	8
ID	26	0	26	0
IL	165	14	142	9
IN	90	3	87	0
IA	151	4	137	10
KS	131	3	75	53
KY	21	0	21	0
LA	18	2	15	1
ME	35	0	28	7
MD	85	11	71	3
MA	62	2	56	4
MI	59	2	48	9
MN	217	30	100	87
MS	41	1	38	2
MO	89	0	78	11
MT	54	0	48	6
NE	117	6	37	74
NV	7	0	7	0
NH	24	2	19	3
NJ	78	4	73	1
NM	19	0	16	3
NY	144	6	128	10
NC	57	16	40	1
AND	79	4	26	49
OH	85	0	77	8
OK	83	0	55	28
OR	15	0	13	2
PA	196	2	191	3
RI	4	0	4	0
SC	41	1	38	2
SD	208	7	131	70
TN	32	2	30	0
TX	155	2	126	27
UT	3	0	3	0
VT	10	0	9	1
VA	130	10	116	4
WA	5	0	5	0
WV	61	0	56	5
WI	86	4	66	16
WY	27	0	15	12
