State	All	Tornado	Wind	Hail
AL	42	4	37	1
AZ	7	3	4	0
AR	18	4	11	3
CA	6	0	6	0
CO	64	12	24	28
CT	23	0	22	1
DE	8	0	8	0
FL	80	3	71	6
GA	55	3	48	4
ID	20	0	16	4
IL	103	11	84	8
IN	127	12	91	24
IA	85	3	40	42
KS	175	0	149	26
KY	96	2	92	2
LA	17	1	13	3
ME	40	0	35	5
MD	76	1	70	5
MA	47	0	45	2
MI	104	8	77	19
MN	83	1	53	29
MS	76	5	70	1
MO	124	5	102	17
MT	127	0	66	61
NE	140	2	91	47
NV	15	1	14	0
NH	33	0	22	11
NJ	56	0	50	6
NM	33	2	22	9
NY	200	2	186	12
NC	35	5	26	4
AND	212	6	146	60
OH	119	2	104	13
OK	43	0	37	6
OR	6	0	3	3
PA	223	1	208	14
RI	4	0	4	0
SC	45	0	36	9
SD	132	2	92	38
TN	59	0	56	3
TX	162	6	131	25
UT	3	0	3	0
VT	14	0	12	2
VA	79	0	77	2
WA	10	0	1	9
WV	121	1	114	6
WI	72	2	45	25
WY	30	0	11	19
