State	All	Tornado	Wind	Hail
AL	127	6	117	4
AR	89	4	62	23
CA	1	0	1	0
CO	121	24	36	61
CT	7	0	7	0
DE	2	0	2	0
FL	18	0	16	2
GA	95	7	86	2
ID	7	0	7	0
IL	50	14	19	17
IN	2	0	2	0
IA	6	1	1	4
KS	237	32	82	123
KY	20	6	13	1
LA	81	17	55	9
ME	5	0	4	1
MD	41	3	37	1
MA	5	0	5	0
MI	14	0	12	2
MN	12	8	2	2
MS	171	44	121	6
MO	62	3	49	10
MT	7	0	4	3
NE	117	16	36	65
NV	6	0	4	2
NH	15	0	15	0
NJ	28	0	28	0
NM	95	13	26	56
NY	42	0	42	0
NC	57	1	37	19
AND	3	1	1	1
OH	3	0	3	0
OK	101	7	43	51
PA	62	2	57	3
SC	74	7	54	13
SD	48	8	37	3
TN	106	19	84	3
TX	581	42	221	318
UT	14	0	11	3
VT	10	0	10	0
VA	135	2	128	5
WA	2	0	2	0
WV	8	1	7	0
WI	33	0	18	15
WY	17	1	11	5
