State	All	Tornado	Wind	Hail
AL	2	0	2	0
AZ	17	0	11	6
AR	11	0	10	1
CA	10	2	6	2
CO	21	0	18	3
CT	5	1	4	0
DE	2	0	2	0
FL	7	1	5	1
GA	5	0	5	0
ID	20	0	17	3
IL	44	1	30	13
IN	7	0	7	0
IA	16	0	15	1
KS	24	0	8	16
KY	9	0	9	0
LA	3	0	3	0
ME	12	0	12	0
MD	38	6	32	0
MA	10	1	9	0
MI	94	0	69	25
MN	58	3	33	22
MS	23	0	23	0
MO	15	0	13	2
MT	3	0	3	0
NE	11	0	5	6
NV	3	0	3	0
NH	18	0	12	6
NJ	22	4	18	0
NM	6	0	5	1
NY	48	1	45	2
NC	9	0	8	1
AND	6	0	1	5
OH	5	0	5	0
OK	22	0	17	5
OR	1	0	1	0
PA	64	7	55	2
RI	1	0	1	0
SC	5	0	4	1
SD	23	0	20	3
TX	29	1	20	8
UT	14	1	12	1
VT	11	0	11	0
VA	21	0	14	7
WA	1	1	0	0
WV	5	0	4	1
WI	65	1	25	39
WY	10	0	7	3
