State	All	Tornado	Wind	Hail
AL	184	2	174	8
AZ	51	1	43	7
AR	72	2	68	2
CA	4	0	4	0
CO	164	12	45	107
CT	34	0	34	0
DE	23	1	22	0
FL	106	2	103	1
GA	278	1	268	9
ID	24	0	21	3
IL	257	23	203	31
IN	174	2	132	40
IA	145	11	90	44
KS	411	2	304	105
KY	232	6	204	22
LA	54	0	51	3
ME	18	0	18	0
MD	135	0	134	1
MA	53	2	51	0
MI	158	8	115	35
MN	192	2	62	128
MS	55	0	54	1
MO	397	1	341	55
MT	82	0	47	35
NE	340	7	179	154
NV	9	0	9	0
NH	39	2	25	12
NJ	59	0	57	2
NM	45	1	19	25
NY	263	2	246	15
NC	232	2	216	14
AND	44	1	13	30
OH	283	5	250	28
OK	132	0	113	19
PA	251	9	222	20
RI	7	0	7	0
SC	120	1	119	0
SD	255	3	122	130
TN	176	0	168	8
TX	149	1	136	12
UT	96	0	94	2
VT	48	2	42	4
VA	310	0	297	13
WA	8	1	4	3
WV	122	0	116	6
WI	201	2	149	50
WY	148	0	82	66
